q1_1,q1_2,q1_3,q2_1,q2_2,q2_3,q2_4,q2_5,q2_6,q3_1,q3_2,q3_3,q3_4,q3_5,q3_6,q3_7,q4_1,q4_2,q4_3,q4_4,q4_5,q4_6,q6,id,q6dik,thetas_q1,thetas_q2,thetas_q3,thetas_q4,thetas_nosacq,nosacq_sumscore,nosacq_dik
2,2,2,2,1,1,1,2,2,2,2,3,3,3,1,2,2,2,2,1,2,2,Nej,105,0,3.1026330451050166,1.695500911051262,2.187672542375578,2.522836086014548,2.393362661121786,10,1
3,3,2,3,0,1,1,3,2,2,1,2,2,1,2,3,2,3,1,1,3,3,Nej,106,0,5.98298056550203,1.6955009110512618,1.282897400399736,3.3639667805164555,4,13,1
2,3,3,3,0,3,3,3,3,2,3,3,3,3,3,3,3,3,3,1,3,3,Nej,107,0,5.982980565502031,5.973920818306586,4.68869737626299,6.281357121823078,4,13,1
1,2,1,1,0,2,1,2,2,1,2,2,2,1,1,2,1,1,1,2,2,2,"Ja, två gånger",108,1,1.0184289485454514,1.6955009110512618,0.5253821462150612,0.24873661708094072,0.10460154462159502,6,0
1,1,2,1,2,1,1,1,1,1,2,1,3,1,2,1,2,2,3,2,2,2,"Ja, en gång",109,1,0.29560398914264496,-0.4714819625098114,1.2828974003997355,3.363966780516455,0.10460154462159511,6,0
2,3,2,3,1,2,1,3,2,2,3,3,3,2,3,3,1,2,2,3,3,2,Nej,110,0,5.212645093423152,2.7746788901630715,3.913291741954897,1.6818738433512983,3.005637135808732,11,1
2,2,2,1,1,2,1,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,Nej,111,0,2.346912601165269,1.6955009110512615,1.7132660161098876,2.522836086014548,1.7921523997348396,9,1
3,2,3,2,1,3,2,2,3,2,2,1,2,2,1,2,3,2,2,3,1,2,"Ja, två gånger",112,1,4.548904768653117,2.7746788901630715,0.8899171831508687,3.363966780516455,3.607071053400111,12,1
2,2,2,2,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,Nej,113,0,3.1026330451050166,1.6955009110512622,2.1876725423755783,2.522836086014548,2.393362661121786,10,1
3,3,3,3,2,3,3,3,3,2,2,2,2,3,3,3,2,2,2,1,3,3,Nej,114,0,7.295476831510103,4.66968312733143,3.2792549970355394,3.3639667805164555,4,13,1
3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,2,3,2,3,3,Nej,115,0,7.295476831510103,5.973920818306586,4.688697376262988,4.121989414829278,4,14,1
2,2,2,3,2,2,1,3,2,2,1,3,3,2,2,1,3,2,2,2,1,2,NA,116,NA,3.102633045105017,2.7746788901630715,1.2828974003997358,3.363966780516455,3.607071053400111,12,1
1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,2,2,3,2,1,Nej,117,0,1.0184289485454514,0.0690400274080155,0.17980136718786882,0.9501695254740972,0.6712963103208982,7,0
2,2,2,2,1,0,1,0,0,2,1,2,1,2,2,0,2,2,3,1,0,2,Nej,118,0,1.672490246045746,-1.5670801665531795,0.17980136718786868,3.363966780516455,2.393362661121786,10,1
3,2,3,2,0,3,3,2,3,3,2,2,2,2,3,3,2,3,2,1,2,3,Nej,119,0,5.212645093423153,3.927351706672258,2.709169651013498,4.121989414829279,3.607071053400112,12,1
2,1,1,2,0,0,0,2,0,2,2,2,2,2,2,2,2,1,1,1,2,2,Nej,120,0,1.6724902460457458,-1.0108880670714382,1.7132660161098876,0.9501695254740972,1.7921523997348392,9,1
3,3,3,3,1,2,2,2,2,3,2,3,3,3,3,3,3,3,2,1,3,3,Nej,121,0,7.295476831510103,2.774678890163072,4.688697376262988,4.94133328227901,4,15,1
2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,Nej,122,0,3.1026330451050166,2.2341832520823717,1.7132660161098876,2.522836086014548,2.393362661121786,10,1
2,2,2,2,1,1,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,Nej,124,0,2.3469126011652683,1.155997470178302,1.7132660161098876,2.522836086014548,2.393362661121786,10,1
2,2,1,2,1,2,1,2,1,2,2,2,2,2,2,1,1,1,2,1,2,3,Nej,125,0,1.6724902460457458,1.1559974701783018,1.7132660161098876,1.6818738433512983,1.7921523997348396,9,1
3,3,3,2,1,1,3,3,3,2,3,3,3,2,2,3,2,2,2,2,3,2,Nej,126,0,5.9829805655020305,3.9273517066722574,3.2792549970355394,2.522836086014548,3.607071053400111,12,1
3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,Nej,127,0,7.295476831510103,5.973920818306586,4.688697376262989,4.121989414829279,4,15,1
3,3,3,1,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Nej,128,0,4.548904768653118,1.6955009110512622,1.7132660161098876,2.522836086014548,3.0056371358087324,11,1
2,3,2,2,0,2,1,2,3,3,2,2,2,3,3,2,2,2,2,1,3,2,Nej,129,0,3.865587103432424,2.234183252082372,3.913291741954897,2.522836086014548,3.6070710534001105,12,1
3,2,3,2,2,1,0,1,1,2,2,0,3,0,2,1,3,2,3,1,1,1,Nej,130,0,3.8655871034324223,-1.5670801665531795,0.889917183150869,3.3639667805164555,3.607071053400111,12,1
2,1,1,2,0,1,1,2,1,2,2,2,2,1,2,2,1,1,1,2,1,1,"Ja, fyra gånger eller fler",131,1,1.6724902460457458,0.6131642011273593,0.8899171831508685,-0.4950284156778258,1.2237390470267122,8,0
2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,Nej,132,0,3.1026330451050166,1.6955009110512622,1.7132660161098876,2.522836086014548,2.393362661121786,10,1
2,1,2,1,1,1,1,1,1,2,2,2,2,1,2,1,1,2,1,1,2,1,Nej,133,0,1.0184289485454514,0.0690400274080154,1.2828974003997355,0.24873661708094036,0.6712963103208983,7,0
3,1,3,3,3,0,0,0,3,1,2,2,3,1,1,1,2,3,3,1,1,1,Nej,134,0,3.865587103432424,-0.4714819625098116,0.5253821462150609,3.363966780516455,2.393362661121784,10,1
1,1,1,1,1,2,1,2,1,1,2,2,2,2,2,1,1,2,1,2,2,2,"Ja, fyra gånger eller fler",135,1,-0.5843707865738103,1.1559974701783018,1.282897400399735,0.9501695254740972,-0.4908497955986152,5,0
3,2,2,3,1,3,2,2,2,2,3,3,3,2,3,2,3,3,2,2,2,2,Nej,136,0,4.548904768653118,3.3273242197828865,3.2792549970355394,4.121989414829279,4,13,1
3,2,3,3,2,2,3,2,3,3,2,3,3,2,3,3,3,2,2,2,3,3,Nej,137,0,5.982980565502031,3.927351706672258,3.9132917419548976,4.121989414829278,4,14,1
3,3,3,3,0,2,2,3,2,3,3,2,2,3,2,3,3,2,3,1,2,3,Nej,138,0,7.295476831510103,2.7746788901630715,3.279254997035538,4.941333282279011,4,15,1
2,2,2,1,2,1,2,2,1,1,2,2,3,2,1,1,2,2,2,1,2,2,Nej,139,0,1.6724902460457465,1.155997470178302,1.2828974003997355,2.522836086014548,1.2237390470267122,8,0
3,3,2,3,1,0,0,2,0,3,3,3,3,1,3,3,1,3,0,1,3,2,Nej,140,0,5.98298056550203,-0.4714819625098113,3.913291741954897,0.9501695254740972,4,13,1
2,2,2,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,Nej,141,0,2.3469126011652683,-0.4714819625098114,0.1798013671878689,-0.4950284156778258,1.2237390470267124,8,0
2,1,1,1,1,1,1,1,0,1,1,1,2,2,1,1,2,2,1,3,3,1,"Ja, en gång",142,1,0.2956039891426443,-1.010888067071438,0.8899171831508689,0.9501695254740968,0.6712963103208983,7,0
3,3,3,2,1,1,1,3,1,2,2,2,3,2,3,2,2,2,1,2,2,1,"Ja, två gånger",143,1,5.212645093423153,1.1559974701783018,2.709169651013498,0.9501695254740968,3.607071053400111,12,1
2,2,3,3,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Ja, en gång",144,1,5.212645093423153,3.9273517066722574,6.017596473447941,6.281357121823078,4,13,1
2,2,2,2,1,3,2,3,3,3,2,3,3,2,3,3,2,3,2,1,3,3,"Ja, två gånger",147,1,3.8655871034324223,4.669683127331429,3.9132917419548976,4.121989414829279,3.0056371358087315,11,1
1,1,1,1,2,0,1,2,1,1,0,1,2,0,1,1,0,0,0,3,2,1,Nej,149,0,-0.5843707865738103,-0.47148196250981145,-0.49131745167053503,-2.9018120147782236,-1.0928668292272012,4,0
3,2,2,2,1,2,2,2,2,1,1,3,1,0,2,3,2,2,3,2,2,2,Nej,150,0,4.548904768653118,2.774678890163072,-0.15609001372345796,3.363966780516455,2.3933626611217846,10,1
0,0,1,0,3,0,0,0,0,1,0,1,0,0,0,0,1,0,2,3,1,1,"Ja, två gånger",151,1,-3.690596287930736,-2.9573233883018992,-2.0875097709962396,-0.4950284156778257,-2.301665661744996,2,0
1,1,1,1,2,0,0,0,0,1,2,2,2,1,2,0,1,1,1,2,0,1,Nej,153,0,-1.4674746066576587,-2.1824896947585763,0.17980136718786874,-0.4950284156778258,-0.4908497955986152,5,0
1,1,1,1,0,3,3,3,3,1,1,2,2,2,2,2,2,1,1,2,1,1,Nej,157,0,0.2956039891426447,4.66968312733143,0.5253821462150609,0.24873661708094072,0.10460154462159511,6,0
2,0,2,2,1,0,1,2,1,2,1,2,3,2,2,2,3,3,2,2,3,2,Nej,170,0,1.6724902460457458,0.06904002740801558,2.187672542375579,4.121989414829279,1.7921523997348394,9,1
